HRS name,HRS operator,HRS owner,street address,postal code,city,Country,Source,Full Address,Latitude,Longitude
Frechen,H2 Mobility,H2 Mobility,Kölnerstraße 209,50226,Frechen,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Kölnerstraße 209, 50226, Frechen, Germany",50.9147956,6.8361793
Freiburg | Gundelfinger Straße,H2 Mobility,H2 Mobility,Gundelfinger Straße 27,79108,Freiburg,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Gundelfinger Straße 27, 79108, Freiburg, Germany",48.0304156,7.862861
Freiburg | Heidenhofstraße,Fraunhofer ISE,Fraunhofer ISE,Heidenhofstraße 3,79110,Freiburg,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Heidenhofstraße 3, 79110, Freiburg, Germany",48.009911,7.8339381
Frenkendorf,Coop Mineraloel AG,Coop Mineraloel AG,113d Rheinstraße,4402,Frenkendorf,Switzerland,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"113d Rheinstraße, 4402, Frenkendorf, Switzerland",47.5124238,7.7193981
Fürholzen West,Tank & Rast,Tank & Rast,Günzenhauser Straße 9,85376,Neufahrn bei Freising,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Günzenhauser Straße 9, 85376, Neufahrn bei Freising, Germany",48.3310544,11.61846244687074
Fürth,H2 Mobility,H2 Mobility,Hans-Vogel-Str. 55,90765,Fürth,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Hans-Vogel-Str. 55, 90765, Fürth, Germany",49.4802092,11.0095252
Geiselwind,H2 Mobility,H2 Mobility,Scheinfelder Straße 23,96160,Geiselwind,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Scheinfelder Straße 23, 96160, Geiselwind, Germany",49.7661512,10.4702085
Geisingen,H2 Mobility,H2 Mobility,Bodenseestraße 19 B31/B33,78187,Geisingen,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Bodenseestraße 19 B31/B33, 78187, Geisingen, Germany",47.9171221,8.66796350932853
Geuensee,Avia,Avia,2 Schäracher,6232,Geuensee,Switzerland,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"2 Schäracher, 6232, Geuensee, Switzerland",47.1934002,8.112177757264957
Gothenburg,Hynion AS,Hynion AS,Ruskvädersgatan 12,41834,Göteborg,Sweden,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Ruskvädersgatan 12, 41834, Göteborg, Sweden",57.7054277,11.8848773
Graz | Ostbahnstraße,H2 Mobility,OMV,Ostbahnstraße 10,8041,Graz,Austria,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Ostbahnstraße 10, 8041, Graz, Austria",47.0419627,15.4639979
Grenoble | Rue Pierre Semard,Air Liquide,Air Liquide,57 Rue Pierre Semard,38000,Grenoble,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"57 Rue Pierre Semard, 38000, Grenoble, France",45.1455847,5.7108486
Groningen | Bornholmstraat,Holthausen Energy Points B.V.,Holthausen Energy Points B.V.,Bornholmstraat 42,9723 AW,Groningen,Netherlands,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Bornholmstraat 42, 9723 AW, Groningen, Netherlands",53.209275,6.596614
Halle,Colruyt DATS 24,Colruyt DATS 24,Zinkstraat 1,1500,Halle,Belgium,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Zinkstraat 1, 1500, Halle, Belgium",50.72779595,4.212830105891431
Halle (Saale),H2 Mobility,H2 Mobility,Blücherstraße 7,06122,Halle (Saale),Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Blücherstraße 7, 06122, Halle (Saale), Germany",51.48933735,11.94026269369726
Hamburg - Flughafen,H2 Mobility,H2 Mobility,Weg beim Jäger 193,22335,Hamburg,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Weg beim Jäger 193, 22335, Hamburg, Germany",53.6217945,9.996972283528969
Hamburg | Bramfelder Chaussee,H2 Mobility,H2 Mobility,Bramfelder Chaussee 370,22175,Hamburg,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Bramfelder Chaussee 370, 22175, Hamburg, Germany",53.6257334,10.08592668696509
Hamburg | Großmoorbogen,H2 Mobility,H2 Mobility,Großmoorbogen 1,21079,Hamburg,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Großmoorbogen 1, 21079, Hamburg, Germany",53.461371,10.01375181353992
Hamburg | Hafencity,eFarming,Vattenfall,Oberbaumbrücke 3,20457,Hamburg HafenCity,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Oberbaumbrücke 3, 20457, Hamburg HafenCity, Germany",53.54591379999999,10.00256542480506
Hannover | Industrieweg,H2 Mobility,H2 Mobility,Industrieweg 30,30179,Hannover,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Industrieweg 30, 30179, Hannover, Germany",52.4209107,9.726728699999999
Hasbergen,H2 Mobility,H2 Mobility,Hauptstraße 107,49205,Hasbergen,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Hauptstraße 107, 49205, Hasbergen, Germany",52.2657052,7.9643505
Heidelberg,H2 Mobility,H2 Mobility,Speyerer Str.  20,69124,Heidelberg,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Speyerer Str.  20, 69124, Heidelberg, Germany",49.396265,8.6696269
Herten,H2 Mobility,H2 Mobility,Marie-Curie-Straße / Albert-Einstein-Allee,45699,Herten,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Marie-Curie-Straße / Albert-Einstein-Allee, 45699, Herten, Germany",,
Hirschberg,H2 Mobility,H2 Mobility,Goldbeckstr. 1,69493,Hirschberg an der Bergstraße,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Goldbeckstr. 1, 69493, Hirschberg an der Bergstraße, Germany",49.5079218,8.6370537
Huesca,Aragon Hydrogen Foundation,Aragon Hydrogen Foundation,Walqa Technology Park,22197,Huesca,Spain,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Walqa Technology Park, 22197, Huesca, Spain",,
Hunzenschwil,Coop Mineraloel AG,Coop Mineraloel AG,Gewerbestrasse 1,5502,Hunzenschwil,Switzerland,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Gewerbestrasse 1, 5502, Hunzenschwil, Switzerland",47.38639685,8.13084555
Husum,eFarming,eFarming,Andreas-Clausen-Str. 3,25813,Husum,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Andreas-Clausen-Str. 3, 25813, Husum, Germany",54.49351625,9.082914883671357
Hvam,Everfuel,Everfuel,Trondheimsveien 40,2013,Hvam,Norway,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Trondheimsveien 40, 2013, Hvam, Norway",59.980729,10.988588
Ingolstadt,H2 Mobility,H2 Mobility,Manchinger Straße 84,85053,Werneck,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Manchinger Straße 84, 85053, Werneck, Germany",48.7529475,11.4514562
Innsbruck,H2 Mobility,OMV,Andechsstraße 83,6020,Innsbruck,Austria,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Andechsstraße 83, 6020, Innsbruck, Austria",47.2653331,11.42638318031306
Irschenberg,H2 Mobility,H2 Mobility,Wendling 14,83737,Irschenberg,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Wendling 14, 83737, Irschenberg, Germany",47.8269895,11.897981
Kamen,H2 Mobility,H2 Mobility,Schattweg 8,59174,Kamen,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Schattweg 8, 59174, Kamen, Germany",51.5700299,7.676214297739362
Karlsruhe | Erlachseeweg,H2 Mobility,H2 Mobility,Erlachseeweg 10,76227,Karlsruhe,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Erlachseeweg 10, 76227, Karlsruhe, Germany",48.9858479,8.4475815
Kirchheim,H2 Mobility,H2 Mobility,Hauptstraße 1,36275,Kirchheim,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Hauptstraße 1, 36275, Kirchheim, Germany",50.83483845,9.573359700331254
Koblenz | Autohof Bolz,H2 Mobility,H2 Mobility,Am Rübenacher Wald 2,56072,Koblenz,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Am Rübenacher Wald 2, 56072, Koblenz, Germany",50.3466387,7.5070666
Kolding,Everfuel,Everfuel,Vejlevej 361,6000,Kolding,Denmark,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Vejlevej 361, 6000, Kolding, Denmark",55.527889,9.46527
Korsör,Everfuel,Everfuel,Storebæltsvej 44,4220,Korsör,Denmark,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Storebæltsvej 44, 4220, Korsör, Denmark",55.350335,11.124087
Laatzen,H2 Mobility,H2 Mobility,Karlsruher Str. 12,30880,Laatzen,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Karlsruher Str. 12, 30880, Laatzen, Germany",52.3180761,9.7972807
Landshut,H2 Mobility,H2 Mobility,Ludwig-Erhard-Str.,84030,Landshut,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Ludwig-Erhard-Str., 84030, Landshut, Germany",48.5404897,12.1043274
La-Roche-sur-Yon,GNVert,SyDEV,Route de Nantes,85000,La-Roche-sur-Yon,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Route de Nantes, 85000, La-Roche-sur-Yon, France",46.69153,-1.429451
Leipzig,H2 Mobility,H2 Mobility,Poststr. 3,04158,Leipzig,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Poststr. 3, 04158, Leipzig, Germany",51.4134298,12.3078299
Leverkusen,H2 Mobility,H2 Mobility,Karl-Krekerler Str. 2,51373,Leverkusen,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Karl-Krekerler Str. 2, 51373, Leverkusen, Germany",51.023517,7.001128
Lillebonne,EASHyMob,Caux Seine Agglomération,rue de la Bossaye,76170,Saint-Jean-de-Folleville,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"rue de la Bossaye, 76170, Saint-Jean-de-Folleville, France",49.515038,0.531762
Limburg,H2 Mobility,H2 Mobility,Brüsseler Straße 5A,65552,Limburg an der Lahn,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Brüsseler Straße 5A, 65552, Limburg an der Lahn, Germany",50.38040405,8.093507723175072
Lohfelden,H2 Mobility,H2 Mobility,Alexander-von-Humboldt-Str. 1,34253,Lohfelden,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Alexander-von-Humboldt-Str. 1, 34253, Lohfelden, Germany",51.2717221,9.5261734
London | Hatton Cross | Heathrow Airport,Air Products,Air Products,Envoy Avenue,TW6 2GE,London,United Kingdom,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Envoy Avenue, TW6 2GE, London, United Kingdom",51.4275396,-0.387226403454527
Lyon | Port Edouard Herriot,GNVert,GNVert,2B Rue de Dijon,69007,Lyon,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"2B Rue de Dijon, 69007, Lyon, France",45.7244706,4.8349364
Magdeburg,H2 Mobility,H2 Mobility,Glindenberger Weg 3,39126,Magdeburg,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Glindenberger Weg 3, 39126, Magdeburg, Germany",52.2114479,11.6710905
Mariestad,VänerEnergi,VänerEnergi,Sörgårdsvägen 2,54235,Mariestad,Sweden,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Sörgårdsvägen 2, 54235, Mariestad, Sweden",58.57818295,14.0071415
Meerane,H2 Mobility,H2 Mobility,Äußere Crimmitschauer Str. 125,08393,Meerane,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Äußere Crimmitschauer Str. 125, 08393, Meerane, Germany",50.8418441,12.44569460098039
Metzingen,H2 Mobility,H2 Mobility,Auchtertstraße 19,72555,Metzingen,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Auchtertstraße 19, 72555, Metzingen, Germany",48.5321484,9.2896825
Mönchengladbach,H2 Mobility,H2 Mobility,Odenkirchenerstr. 160,41236,Mönchengladbach,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Odenkirchenerstr. 160, 41236, Mönchengladbach, Germany",51.1589923,6.4462059
