Name,City,Country,Latitude,Longitude
Botlek-Rotterdam Air Liquide,Netherlands,Botlek,51.8897247,4.2931302
Botlek-Rotterdam Air Liquide,Netherlands,Botlek,51.8907247,4.2931302
Delfzijl Nobian,Netherlands,Delfzijl,53.3310272,6.9244598
Delfzijl BioMCN,Netherlands,Delfzijl,53.3320272,6.9244598
Europoort Rotterdam BP,Netherlands,Europoort Rotterdam,51.9436775,4.1379495
Geleen Sabic EuroPetrochemicals,Netherlands,Geleen,50.9672139,5.8277247
Geleen OCI Nitrogen,Netherlands,Geleen,50.9682139,5.8277247
IJmuiden Linde,Netherlands,IJmuiden,52.4569544,4.6060138
Geleen DSM,Netherlands,Limburg,51.4427238,6.0608726
Maasvlakte LyondellBasell/Covestro,Netherlands,Maasvlakte,51.9632789,4.031126
Rotterdam-Merseyweg Air Products,Netherlands,Merseyweg,51.904422,4.2471328
Rotterdam-Merseyweg Air Products,Netherlands,Merseyweg,51.905422,4.2471328
Middelburg Eastman,Netherlands,Middelburg,51.4987962,3.610998
Moerdijk Shell Chemicals,Netherlands,Moerdijk,51.7018167,4.6273499
Moerdijk ELLBA,Netherlands,Moerdijk,51.7038167,4.6273499
Moerdijk Shell Chemicals,Netherlands,Moerdijk,51.7048167,4.6273499
Rotterdam-Vondenlingenplaat-Pernis Shell,Netherlands,Pernis,51.8897319,4.3890747
