Lat,Lon,Title,Partner,Partner ohne Markdown,Website,Straße,PLZ,Ort,Land,Partner aus…,Beteiligt in…,Funktion als…,Webadresse,Column 1
53.6615506,9.7968682,,Hoedtke GmbH & Co. KG,Hoedtke GmbH & Co. KG,https://hoedtke.de/,Industriestr. 2-6,25421,Pinneberg,Schleswig-Holstein,Wirtschaft,INSTALL-AWE,Partner,hoedtke.de,
53.8909832,11.4647932,,[Hoeller Electrolyzer GmbH](https://www.hoeller-electrolyzer.com/),Hoeller Electrolyzer GmbH,https://www.hoeller-electrolyzer.com/,Alter Holzhafen 17 b,23966,Wismar,Mecklenburg-Vorpommern,Wirtschaft,HyPLANT100,Partner,www.hoeller-electrolyzer.com,
54.2344231,9.0895911,,[HYPION GmbH](https://www.hypion.eu/),HYPION GmbH,https://www.hypion.eu/,Hamburger Hof 3,25746,Heide,Schleswig-Holstein,Wirtschaft,HyPLANT100,Partner,www.hypion.eu,
51.2831254,7.7830374,,[IBG Automation GmbH](https://www.goeke-group.com/),IBG Automation GmbH,https://www.goeke-group.com/,Osemundstr. 14-22,58809,Neuenrade,Nordrhein-Westfalen,Wirtschaft,FertiRob,Partner,www.goeke-group.com,
53.9119196,10.8023569,,[IBG Technology Hansestadt Lübeck GmbH](https://www.goeke-group.com/),IBG Technology Hansestadt Lübeck GmbH,https://www.goeke-group.com/,An der Dänischburg 25,23569,Lübeck,Schleswig-Holstein,Wirtschaft,HyPLANT100,Partner,www.goeke-group.com,
48.0769935,11.6615136,,[Infineon Technologies AG F OP RD FO](https://www.infineon.com/),Infineon Technologies AG F OP RD FO,https://www.infineon.com/,Am Campeon 1-15,85579,Neubiberg,Bayern,Wirtschaft,HyLeiT,Partner,www.infineon.com,
52.4386105,13.2391057,,[inpro Innovationsgesellschaft für fortgeschrittene Produktionssysteme in der Fahrzeugindustrie mbH](https://www.inpro.de/),inpro Innovationsgesellschaft für fortgeschrittene Produktionssysteme in der Fahrzeugindustrie mbH,https://www.inpro.de/,Steinplatz 2,10623,Berlin,Berlin,Wirtschaft,FertiRob,Partner,www.inpro.de,
49.8309887,8.745123,,[ISRA VISION AG](https://www.isravision.com/),ISRA VISION AG,https://www.isravision.com/,Industriestr. 14,64297,Darmstadt,Hessen,Wirtschaft,FertiRob,Partner,www.isravision.com,
50.9797836,14.1111221,,[ITM Linde Electrolysis GmbH und Linde GmbH](https://www.linde.com/),ITM Linde Electrolysis GmbH und Linde GmbH,https://www.linde.com/,Bodenbacher Str. 80,01277,Dresden,Sachsen,Wirtschaft,SINEWAVE,Partner,www.linde.com,
50.4696168,8.9171014,,ITM Power Service GmbH,ITM Power Service GmbH,https://itm-power.com/,Am Mühlgraben 6,35410,Hungen,Hessen,Wirtschaft,SINEWAVE,Partner,itm-power.com,
48.4442267,8.5134354,,[J.Schmalz GmbH](https://www.schmalz.com/),J.Schmalz GmbH,https://www.schmalz.com/,Johannes-Schmalz-Str. 1,72293,Glatten,Baden-Württemberg,Wirtschaft,FertiRob,Partner,www.schmalz.com,
